L4 | Sat Jan 18 00:07:20 2020 (615 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sat Jan 18 00:07:20 2020 (839 ms) | general | exiting: Deleting sceneHandler

L4 | Sat Jan 18 00:07:20 2020 (839 ms) | general | Freeing sound sprites

L4 | Sat Jan 18 00:07:20 2020 (840 ms) | general | exiting: freeing frameDrawer

L4 | Sat Jan 18 00:07:20 2020 (934 ms) | general | exiting: Deleting screen

L4 | Sat Jan 18 00:07:20 2020 (934 ms) | general | exiting: freeing drawString

L4 | Sat Jan 18 00:07:20 2020 (935 ms) | general | exiting: calling SDL_Quit()

L4 | Sat Jan 18 00:07:20 2020 (974 ms) | general | exiting: Done.

L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | New game starting up
L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | Target game image size:  1024x600

L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | Trying to start in fullscreen mode.
L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | The following frame rates are considered possible:
L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | 30 fps
L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | 60 fps
L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | 100 fps
L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | 120 fps
L4 | Sat Jan 18 00:08:04 2020 (532 ms) | general | 144 fps
L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general | Sticking with user's current screen resolution
L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general | Checking if requested video mode (1440x900) is available
L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general | Available video modes:
L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    2560 x 1600

L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1920 x 1440

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1920 x 1200

L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1856 x 1392

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1792 x 1344

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1680 x 1050

L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1600 x 1200

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1440 x 900

L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1400 x 1050

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1360 x 768

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1280 x 1024

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1280 x 960

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1280 x 800

L4 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1280 x 768

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1152 x 864

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    1024 x 768

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    800 x 600

L5 | Sat Jan 18 00:08:04 2020 (533 ms) | general |    640 x 480

L4 | Sat Jan 18 00:08:04 2020 (617 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Sat Jan 18 00:08:04 2020 (886 ms) | general | Recording game into file recordedGames/recordedGame000084.txt
L4 | Sat Jan 18 00:08:04 2020 (886 ms) | general | Only keeping 20 past recordings
L4 | Sat Jan 18 00:08:04 2020 (887 ms) | general | Removed 1 stale recordings
L4 | Sat Jan 18 00:19:40 2020 (218 ms) | general | exiting...

L4 | Sat Jan 18 00:19:40 2020 (218 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sat Jan 18 00:19:40 2020 (439 ms) | general | exiting: Deleting sceneHandler

L4 | Sat Jan 18 00:19:40 2020 (439 ms) | general | Freeing sound sprites

L4 | Sat Jan 18 00:19:40 2020 (440 ms) | general | exiting: freeing frameDrawer

L4 | Sat Jan 18 00:19:40 2020 (538 ms) | general | exiting: Deleting screen

L4 | Sat Jan 18 00:19:40 2020 (538 ms) | general | exiting: freeing drawString

L4 | Sat Jan 18 00:19:40 2020 (538 ms) | general | exiting: calling SDL_Quit()

L4 | Sat Jan 18 00:19:40 2020 (570 ms) | general | exiting: Done.

L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | New game starting up
L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | Target game image size:  1280x720

L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | Trying to start in fullscreen mode.
L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | The following frame rates are considered possible:
L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | 30 fps
L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | 60 fps
L4 | Sat Jan 18 00:19:59 2020 (675 ms) | general | 100 fps
L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general | 120 fps
L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general | 144 fps
